sqft,bedrooms,bathrooms,location,price
1610,3,3,Rawalpindi,14270000
4419,5,5,Faisalabad,33900000
2209,4,2,Lahore,27190000
788,1,1,Karachi,8730000
1731,4,3,Rawalpindi,16130000
1529,5,3,Rawalpindi,14820000
755,2,3,Rawalpindi,7940000
832,1,1,Lahore,9050000
2068,3,4,Peshawar,16370000
5203,6,5,Lahore,61860000
967,3,2,Gujranwala,6770000
2091,4,3,Karachi,24090000
1317,3,4,Lahore,16140000
1091,3,3,Karachi,13390000
1635,3,2,Karachi,20070000
1378,2,3,Lahore,14770000
3154,4,4,Multan,21300000
2968,6,3,Islamabad,39410000
8626,6,6,Karachi,95330000
1211,3,3,Lahore,16330000
4467,6,5,Karachi,50250000
7302,7,6,Karachi,80350000
4856,5,6,Faisalabad,29370000
2237,4,2,Islamabad,31380000
1203,3,4,Lahore,16250000
8453,6,5,Islamabad,118630000
2463,5,4,Peshawar,20910000
2860,4,4,Rawalpindi,27110000
1191,3,2,Islamabad,16350000
3363,4,5,Faisalabad,25260000
2076,5,4,Peshawar,17010000
4997,5,5,Faisalabad,35730000
1917,4,3,Lahore,23260000
2688,5,5,Islamabad,37570000
3042,6,5,Islamabad,39670000
2017,4,3,Karachi,21980000
745,2,2,Lahore,9470000
1801,5,2,Islamabad,25150000
2456,5,4,Lahore,28970000
1425,3,4,Faisalabad,12030000
7765,6,6,Lahore,87780000
3106,6,4,Rawalpindi,30620000
2472,5,4,Gujranwala,16540000
1360,3,3,Islamabad,19640000
1232,3,3,Lahore,15160000
4873,5,6,Faisalabad,33330000
2098,4,4,Lahore,26440000
1062,3,2,Peshawar,10150000
1223,2,3,Multan,8840000
2628,5,4,Lahore,29450000
1894,5,3,Karachi,21670000
1538,3,4,Rawalpindi,15420000
984,1,2,Islamabad,13390000
1385,3,3,Islamabad,21050000
1401,4,2,Islamabad,19610000
2630,5,4,Multan,20440000
1334,3,3,Islamabad,16810000
7520,7,5,Islamabad,103750000
1266,3,3,Lahore,15340000
949,2,2,Karachi,11600000
1301,3,4,Lahore,16910000
682,1,3,Rawalpindi,7720000
1865,2,3,Karachi,20100000
1236,3,2,Faisalabad,10760000
1252,4,2,Karachi,15360000
5901,6,6,Gujranwala,37850000
2027,4,2,Islamabad,27150000
3007,5,3,Karachi,30450000
2594,4,4,Karachi,28790000
1047,3,4,Multan,9310000
762,2,2,Peshawar,6750000
1546,4,2,Islamabad,21060000
1714,4,4,Peshawar,14360000
1188,3,3,Karachi,14790000
1363,3,2,Rawalpindi,11850000
1258,4,3,Islamabad,19040000
2385,4,3,Karachi,26440000
4386,5,5,Multan,30930000
1046,3,4,Karachi,13510000
500,3,3,Lahore,8030000
2992,4,5,Lahore,37600000
1233,2,3,Karachi,13930000
1191,4,2,Islamabad,17080000
1529,3,4,Lahore,17480000
1658,4,2,Karachi,17630000
4141,5,5,Lahore,52210000
1650,4,3,Islamabad,23720000
980,2,2,Gujranwala,6160000
1249,2,3,Peshawar,12270000
2591,6,4,Faisalabad,22940000
5003,4,5,Peshawar,36400000
7939,6,6,Lahore,97420000
1572,4,3,Gujranwala,11010000
546,2,3,Lahore,7680000
7507,6,7,Karachi,79990000
1858,4,5,Islamabad,28150000
1533,3,3,Islamabad,20540000
2263,5,2,Lahore,27000000
500,2,2,Rawalpindi,5760000
1202,2,3,Rawalpindi,12300000
1080,2,3,Lahore,14180000
2235,3,3,Gujranwala,15310000
657,2,3,Peshawar,6190000
1830,4,3,Islamabad,23780000
985,3,3,Karachi,11720000
1411,3,2,Lahore,16740000
6953,6,6,Islamabad,92760000
1562,3,3,Rawalpindi,13510000
1614,4,2,Lahore,19610000
4830,5,5,Islamabad,65890000
2628,5,4,Rawalpindi,24150000
8624,5,6,Karachi,93150000
845,1,2,Gujranwala,5500000
1250,3,2,Multan,8290000
1512,4,2,Karachi,18040000
4029,5,4,Islamabad,51460000
2104,4,2,Islamabad,30560000
2919,6,4,Gujranwala,20280000
2160,4,2,Lahore,26280000
5143,5,5,Lahore,67700000
1830,4,2,Multan,14000000
1858,4,2,Rawalpindi,16080000
1263,3,3,Faisalabad,10440000
1752,4,3,Islamabad,26330000
1557,4,3,Islamabad,22320000
1088,3,3,Islamabad,14940000
1480,3,4,Lahore,18880000
1381,4,4,Gujranwala,9330000
1403,2,4,Islamabad,22840000
2888,5,4,Rawalpindi,27200000
2942,5,3,Islamabad,37250000
1045,2,1,Islamabad,14510000
708,1,1,Islamabad,8530000
1486,4,4,Karachi,17370000
1424,4,3,Rawalpindi,12440000
701,4,3,Rawalpindi,8650000
664,2,1,Karachi,7840000
1574,3,3,Rawalpindi,14390000
1374,2,2,Lahore,14690000
906,3,3,Lahore,13270000
2228,4,2,Faisalabad,15840000
4019,5,6,Faisalabad,30050000
1572,4,2,Multan,9920000
1090,2,3,Rawalpindi,10120000
1201,3,2,Karachi,12810000
2169,4,2,Lahore,26960000
1839,5,3,Lahore,22610000
941,2,2,Karachi,11720000
2022,4,3,Faisalabad,14830000
1434,4,3,Islamabad,20960000
1957,4,2,Karachi,22850000
2380,5,3,Karachi,25730000
1363,2,2,Lahore,16480000
1487,3,3,Rawalpindi,14810000
1402,3,3,Rawalpindi,13750000
2905,5,4,Islamabad,36180000
2441,4,4,Faisalabad,19330000
1447,2,3,Lahore,15350000
4302,6,6,Lahore,53110000
2907,4,3,Faisalabad,19200000
1549,4,4,Gujranwala,12030000
646,1,2,Lahore,7730000
2224,4,2,Peshawar,15980000
2016,4,3,Peshawar,17500000
1943,4,3,Faisalabad,15170000
1484,4,4,Rawalpindi,13670000
2087,4,2,Lahore,25480000
2296,6,3,Karachi,28860000
3124,5,3,Karachi,36940000
2068,4,3,Rawalpindi,17900000
1748,4,4,Faisalabad,15140000
1141,3,3,Gujranwala,8420000
5553,5,4,Lahore,69500000
1408,4,4,Islamabad,19600000
1517,3,4,Rawalpindi,13920000
900,3,2,Gujranwala,7270000
746,3,3,Faisalabad,7290000
4376,4,4,Faisalabad,29660000
1752,3,2,Lahore,19830000
2695,5,4,Gujranwala,18530000
1238,3,3,Lahore,15030000
969,1,2,Rawalpindi,8240000
1352,3,3,Faisalabad,10440000
886,1,2,Faisalabad,7730000
1875,4,4,Lahore,21750000
1794,3,3,Islamabad,23720000
4736,6,6,Peshawar,33120000
1347,3,3,Multan,9290000
3100,5,4,Karachi,33640000
2622,6,3,Karachi,29190000
2565,4,3,Karachi,27790000
1965,3,3,Lahore,21320000
1222,4,4,Lahore,17000000
1093,2,1,Karachi,11410000
2507,5,3,Karachi,28850000
3996,4,6,Lahore,43940000
1708,4,3,Peshawar,14810000
1619,4,4,Islamabad,22150000
1717,4,3,Karachi,20300000
6973,7,5,Karachi,83370000
1395,3,4,Islamabad,17290000
1274,5,2,Karachi,17210000
1217,3,3,Islamabad,17590000
1247,3,2,Islamabad,18450000
1531,4,3,Peshawar,14730000
869,2,1,Islamabad,12580000
868,3,2,Lahore,11340000
3067,6,5,Rawalpindi,27870000
1579,4,3,Peshawar,14770000
522,2,3,Lahore,7430000
1520,2,2,Multan,9970000
1925,4,3,Islamabad,21600000
2906,6,5,Rawalpindi,29880000
660,2,3,Peshawar,7270000
5181,5,4,Multan,31360000
1665,2,3,Islamabad,21730000
881,3,3,Karachi,11170000
1032,2,2,Islamabad,14140000
4658,5,6,Rawalpindi,44490000
1329,3,3,Lahore,16380000
9016,5,6,Islamabad,127610000
901,2,3,Karachi,10040000
5592,5,5,Faisalabad,38080000
2066,4,3,Rawalpindi,17370000
2682,5,4,Lahore,34430000
980,4,2,Faisalabad,7360000
2555,5,4,Lahore,32660000
888,2,1,Multan,6400000
1473,4,3,Karachi,16380000
657,2,3,Rawalpindi,7140000
992,2,3,Rawalpindi,8510000
1488,3,3,Faisalabad,11320000
2497,5,3,Lahore,29850000
2682,4,5,Islamabad,35370000
1798,4,2,Karachi,20110000
4635,5,5,Multan,32060000
1680,4,4,Peshawar,16280000
3200,5,4,Islamabad,43480000
1345,3,3,Multan,10880000
1336,3,3,Karachi,15930000
2668,5,4,Rawalpindi,25380000
1179,2,1,Gujranwala,7780000
1036,3,3,Multan,8760000
1284,3,4,Lahore,15090000
1622,2,2,Islamabad,23200000
2916,6,4,Islamabad,39240000
500,1,2,Islamabad,7820000
2684,5,4,Islamabad,36580000
2185,4,4,Gujranwala,13920000
1870,5,4,Lahore,22540000
1332,3,4,Lahore,15860000
633,3,3,Islamabad,10120000
1692,3,2,Karachi,18860000
1071,3,2,Islamabad,13480000
1123,3,3,Islamabad,16720000
3898,5,4,Multan,24830000
3111,5,3,Rawalpindi,28410000
1060,2,4,Peshawar,10090000
8392,7,6,Islamabad,127850000
1439,4,3,Karachi,15150000
1406,4,3,Faisalabad,12180000
659,2,2,Peshawar,5880000
1030,2,2,Faisalabad,8280000
2120,4,3,Karachi,26210000
1097,3,3,Peshawar,10360000
906,3,1,Lahore,10440000
1554,3,3,Peshawar,12830000
635,2,1,Islamabad,9950000
1955,4,3,Lahore,24580000
516,3,2,Islamabad,9070000
2811,5,5,Islamabad,34380000
2867,5,3,Peshawar,22840000
1656,3,2,Lahore,20840000
1526,3,2,Peshawar,13650000
2812,4,4,Islamabad,39160000
2353,5,3,Peshawar,20770000
4547,5,4,Karachi,50870000
969,3,2,Karachi,12640000
1133,3,3,Lahore,12160000
2237,5,4,Karachi,24160000
1444,2,3,Rawalpindi,12340000
2932,5,4,Rawalpindi,27170000
1881,4,2,Rawalpindi,15990000
7446,6,6,Islamabad,95230000
889,2,1,Islamabad,11260000
2719,5,4,Rawalpindi,24040000
2376,4,3,Lahore,28620000
1485,3,4,Karachi,19290000
1103,3,3,Islamabad,17070000
2103,4,2,Peshawar,16410000
6906,6,6,Karachi,75360000
1554,3,4,Islamabad,19540000
1182,3,2,Lahore,16020000
4740,4,5,Faisalabad,34160000
1395,3,3,Rawalpindi,12440000
3586,6,4,Islamabad,52030000
2393,5,5,Lahore,29430000
1341,3,3,Lahore,16330000
4803,6,4,Islamabad,70060000
2047,4,4,Karachi,24210000
4761,5,6,Islamabad,54370000
1697,4,3,Rawalpindi,15690000
1018,2,1,Lahore,11820000
935,2,2,Karachi,10990000
2033,4,3,Peshawar,17630000
9500,6,6,Lahore,118360000
1396,3,3,Karachi,15520000
1866,3,2,Lahore,20320000
1328,3,3,Lahore,15730000
2727,4,3,Lahore,29160000
1947,5,2,Karachi,23440000
885,2,1,Islamabad,10910000
2538,4,3,Gujranwala,15980000
1684,5,3,Islamabad,22110000
1045,1,1,Gujranwala,5320000
1809,4,2,Rawalpindi,13900000
1742,3,3,Lahore,21340000
949,2,2,Lahore,11070000
4390,5,5,Karachi,47020000
1371,3,3,Gujranwala,9750000
8000,6,6,Lahore,90800000
2030,5,2,Karachi,23550000
1105,2,2,Rawalpindi,8750000
656,1,1,Gujranwala,4590000
4150,5,5,Gujranwala,24320000
1734,2,3,Lahore,22100000
2103,3,3,Karachi,21840000
2163,4,3,Peshawar,16270000
1566,4,3,Peshawar,13460000
1347,4,2,Karachi,15710000
4432,4,5,Karachi,44200000
1599,2,2,Karachi,17120000
1967,5,3,Faisalabad,16700000
3737,5,4,Peshawar,29520000
1891,3,3,Lahore,23820000
864,2,2,Islamabad,11130000
3147,6,3,Lahore,38290000
5882,5,5,Islamabad,71630000
6526,7,5,Multan,45980000
4005,4,6,Lahore,44500000
3032,5,4,Karachi,32110000
1368,4,3,Lahore,17350000
2325,5,4,Peshawar,19140000
865,3,3,Karachi,11090000
974,2,3,Peshawar,8250000
1465,4,2,Multan,11060000
1235,3,2,Gujranwala,8490000
1424,3,4,Lahore,17930000
2897,6,4,Faisalabad,21510000
1948,3,3,Lahore,25650000
5215,5,6,Faisalabad,35190000
1617,3,3,Gujranwala,11520000
1378,3,4,Faisalabad,11500000
1404,2,3,Lahore,17720000
2282,5,3,Karachi,25580000
3207,5,5,Islamabad,46420000
1036,1,3,Peshawar,8310000
1625,5,3,Rawalpindi,15280000
1466,3,3,Peshawar,12320000
2203,4,3,Lahore,25610000
7318,6,6,Islamabad,98760000
1204,4,3,Lahore,16110000
2157,4,3,Lahore,24110000
8293,6,5,Karachi,90670000
1181,2,2,Lahore,14210000
3902,5,5,Peshawar,30280000
1724,3,4,Lahore,21190000
1100,2,2,Lahore,12610000
1983,4,4,Rawalpindi,18680000
1416,4,2,Peshawar,12080000
1526,3,4,Rawalpindi,14200000
1164,2,2,Islamabad,14910000
902,4,4,Karachi,11500000
1322,3,3,Karachi,15100000
2846,4,3,Islamabad,35680000
1405,2,4,Multan,11170000
4654,4,5,Lahore,52470000
4401,5,5,Peshawar,34520000
1055,3,2,Lahore,13180000
2096,4,2,Lahore,25470000
597,1,2,Karachi,6240000
7117,5,6,Gujranwala,42940000
770,3,2,Gujranwala,6390000
1065,2,4,Peshawar,9890000
5209,4,5,Multan,34620000
1608,4,4,Lahore,19660000
727,2,2,Lahore,8810000
3156,5,4,Rawalpindi,27560000
1684,2,3,Faisalabad,11640000
570,2,1,Lahore,7440000
1358,2,3,Islamabad,18150000
1439,4,3,Multan,12300000
1085,3,3,Karachi,11980000
3100,4,4,Gujranwala,19860000
1435,3,3,Karachi,16660000
810,4,3,Gujranwala,7410000
2400,6,4,Peshawar,18170000
5336,6,6,Peshawar,43510000
1183,2,2,Lahore,13020000
2075,4,2,Lahore,23000000
2120,6,4,Lahore,26390000
1597,3,3,Gujranwala,10810000
1294,2,2,Lahore,14630000
1600,3,2,Gujranwala,10700000
2166,5,3,Peshawar,18790000
1795,5,3,Lahore,21140000
1776,5,2,Lahore,22700000
2608,4,4,Peshawar,19210000
1725,3,3,Karachi,18570000
4061,6,5,Karachi,50310000
1717,4,3,Multan,12990000
1780,4,4,Karachi,19440000
4803,4,5,Peshawar,39530000
2845,4,3,Rawalpindi,23230000
3489,5,4,Islamabad,44600000
843,3,2,Karachi,10420000
1770,3,2,Karachi,19680000
1489,4,3,Gujranwala,11240000
752,1,2,Islamabad,10580000
653,1,1,Peshawar,5150000
834,3,2,Faisalabad,7190000
1283,2,2,Karachi,12830000
693,2,3,Lahore,9170000
5459,5,5,Gujranwala,34950000
1657,4,4,Karachi,20750000
1961,4,2,Islamabad,27520000
4920,4,4,Lahore,65190000
1175,3,4,Gujranwala,9290000
1142,2,3,Karachi,13490000
3929,5,4,Rawalpindi,35170000
2244,4,4,Multan,17080000
1248,3,3,Karachi,14800000
7111,6,6,Islamabad,94730000
2293,5,2,Karachi,25130000
5183,4,6,Karachi,54980000
3840,6,5,Peshawar,33350000
2958,5,3,Lahore,33160000
1697,4,3,Lahore,21700000
1309,4,2,Faisalabad,10990000
3343,5,4,Lahore,35380000
801,1,2,Lahore,8330000
1041,1,2,Lahore,11960000
1176,3,2,Rawalpindi,12280000
1866,5,3,Rawalpindi,17490000
4871,5,6,Karachi,58800000
2016,4,2,Karachi,22080000
1925,4,4,Faisalabad,14790000
2460,6,4,Lahore,30250000
1770,3,2,Lahore,21330000
2102,4,4,Lahore,25010000
1357,2,4,Multan,10290000
2831,5,3,Karachi,30300000
754,2,2,Islamabad,11000000
929,2,2,Karachi,10830000
1634,4,4,Karachi,17580000
1973,4,3,Karachi,20780000
7610,5,5,Lahore,84780000
1642,3,3,Karachi,17230000
4978,6,4,Gujranwala,27340000
4527,4,5,Faisalabad,33580000
2849,5,4,Karachi,28430000
7494,6,5,Islamabad,108590000
2830,5,4,Karachi,31710000
969,3,3,Peshawar,8450000
1983,6,3,Karachi,24690000
1949,4,4,Lahore,26780000
4625,6,5,Karachi,47710000
1337,3,4,Rawalpindi,12560000
8259,7,6,Lahore,95810000
1563,4,2,Lahore,19820000
1020,3,3,Islamabad,13940000
1342,3,3,Islamabad,19150000
1649,3,2,Gujranwala,11280000
1151,2,3,Rawalpindi,11280000
