Date,Product,Category,Quantity,Unit_Price,Sales,Region
2021-01-14,4K Ultra HD Monitor,Technology,1.0,372.4,372.4,East
2021-01-15,Executive Ergonomic Desk,Furniture,1.0,541.3,541.3,South
2021-01-15,Wireless Headphones,Technology,3.0,141.24,423.72,West
2021-01-15,Filing Cabinet,Office Supplies,4.0,159.75,639.0,West
2021-01-16,Premium Notebook,Office Supplies,2.0,16.7,33.4,West
2021-01-17,Premium Notebook,Office Supplies,6.0,17.04,102.24,North
2021-01-17,Executive Ergonomic Desk,Furniture,3.0,577.09,1731.27,East
2021-01-17,Wireless Headphones,Technology,2.0,140.63,281.26,South
2021-01-17,Premium Notebook,Office Supplies,1.0,17.68,17.68,East
2021-01-17,4K Ultra HD Monitor,Technology,1.0,360.14,360.14,West
2021-01-17,Smartphone Ultra,Technology,2.0,805.65,1611.3,North
2021-01-18,Filing Cabinet,Office Supplies,5.0,151.96,759.8,North
2021-01-18,Executive Ergonomic Desk,Furniture,1.0,526.68,526.68,North
2021-01-19,Office Chair Pro,Furniture,4.0,293.75,1175.0,South
2021-01-19,Filing Cabinet,Office Supplies,2.0,159.54,319.08,North
2021-01-19,Smartphone Ultra,Technology,2.0,804.18,1608.36,South
2021-01-19,Laptop Pro 15,Technology,1.0,1161.12,1161.12,North
2021-01-19,4K Ultra HD Monitor,Technology,4.0,386.63,1546.52,South
2021-01-19,Wireless Headphones,Technology,4.0,145.54,582.16,West
2021-01-19,4K Ultra HD Monitor,Technology,1.0,353.91,353.91,West
2021-01-19,Running Shoes,Clothing,1.0,99.96,99.96,South
2021-01-20,Office Chair Pro,Furniture,2.0,270.1,540.2,East
2021-01-20,Premium Notebook,Office Supplies,1.0,18.45,18.45,West
2021-01-21,Office Chair Pro,Furniture,3.0,289.09,867.27,West
2021-01-21,Filing Cabinet,Office Supplies,2.0,148.82,297.64,West
2021-01-21,Coffee Maker,Appliances,2.0,166.81,333.62,North
2021-01-21,Laptop Pro 15,Technology,2.0,1158.95,2317.9,East
2021-01-21,Business Backpack,Clothing,1.0,68.79,68.79,North
2021-01-21,Executive Ergonomic Desk,Furniture,1.0,569.67,569.67,East
2021-01-21,Conference Room Table,Furniture,3.0,845.19,2535.57,West
2021-01-22,Smartphone Ultra,Technology,1.0,914.87,914.87,North
2021-01-22,Filing Cabinet,Office Supplies,1.0,156.96,156.96,East
2021-01-22,Filing Cabinet,Office Supplies,2.0,154.66,309.32,North
2021-01-22,Wireless Headphones,Technology,2.0,146.34,292.68,West
2021-01-22,Running Shoes,Clothing,3.0,101.94,305.82,East
2021-01-22,Office Chair Pro,Furniture,2.0,266.97,533.94,South
2021-01-23,Formal Shirt,Clothing,1.0,44.14,44.14,East
2021-01-23,Wireless Headphones,Technology,2.0,144.73,289.46,East
2021-01-23,4K Ultra HD Monitor,Technology,3.0,358.88,1076.64,West
2021-01-23,Printer Laser X,Office Supplies,2.0,323.14,646.28,South
2021-01-23,Running Shoes,Clothing,3.0,101.99,305.97,South
2021-01-24,Formal Shirt,Clothing,1.0,41.85,41.85,North
2021-01-25,Business Backpack,Clothing,5.0,59.87,299.35,East
2021-01-25,Premium Notebook,Office Supplies,3.0,17.03,51.09,South
2021-01-25,Premium Notebook,Office Supplies,1.0,18.95,18.95,North
2021-01-25,Printer Laser X,Office Supplies,1.0,316.1,316.1,North
2021-01-25,Office Chair Pro,Furniture,3.0,290.14,870.42,East
2021-01-25,Filing Cabinet,Office Supplies,3.0,148.7,446.1,East
2021-01-26,Smartphone Ultra,Technology,2.0,794.98,1589.96,East
2021-01-26,Premium Notebook,Office Supplies,4.0,18.66,74.64,East
2021-01-27,Running Shoes,Clothing,4.0,90.2,360.8,South
2021-01-27,Premium Notebook,Office Supplies,3.0,16.62,49.86,East
2021-01-27,Wireless Headphones,Technology,4.0,140.11,560.44,West
2021-01-28,Smartphone Ultra,Technology,1.0,814.08,814.08,North
2021-01-28,Formal Shirt,Clothing,3.0,47.54,142.62,East
2021-01-28,Wireless Headphones,Technology,2.0,142.71,285.42,South
2021-01-28,Smartphone Ultra,Technology,1.0,889.82,889.82,North
2021-01-29,Smartphone Ultra,Technology,3.0,889.83,2669.49,West
2021-01-29,Smartphone Ultra,Technology,4.0,807.61,3230.44,North
2021-01-29,Executive Ergonomic Desk,Furniture,1.0,592.21,592.21,East
2021-01-29,Wireless Headphones,Technology,1.0,148.1,148.1,West
2021-01-29,4K Ultra HD Monitor,Technology,2.0,366.55,733.1,South
2021-01-29,4K Ultra HD Monitor,Technology,1.0,385.64,385.64,West
2021-01-31,Printer Laser X,Office Supplies,1.0,328.1,328.1,East
2021-01-31,Office Chair Pro,Furniture,2.0,286.82,573.64,North
2021-01-31,4K Ultra HD Monitor,Technology,1.0,373.36,373.36,South
2021-02-01,Smartphone Ultra,Technology,1.0,909.11,909.11,West
2021-02-01,Formal Shirt,Clothing,5.0,43.28,216.4,East
2021-02-01,Printer Laser X,Office Supplies,2.0,330.45,660.9,South
2021-02-02,Wireless Headphones,Technology,1.0,146.01,146.01,North
2021-02-03,4K Ultra HD Monitor,Technology,3.0,365.75,1097.25,South
2021-02-03,Formal Shirt,Clothing,1.0,46.48,46.48,South
2021-02-03,Conference Room Table,Furniture,1.0,767.59,767.59,West
2021-02-04,Business Backpack,Clothing,3.0,68.37,205.11,South
2021-02-04,Executive Ergonomic Desk,Furniture,3.0,583.57,1750.71,North
2021-02-04,Winter Jacket,Clothing,1.0,117.49,117.49,West
2021-02-05,Smartphone Ultra,Technology,4.0,795.66,3182.64,East
2021-02-05,Office Chair Pro,Furniture,1.0,282.2,282.2,East
2021-02-05,Formal Shirt,Clothing,2.0,42.06,84.12,East
2021-02-05,Winter Jacket,Clothing,1.0,107.42,107.42,West
2021-02-06,Running Shoes,Clothing,6.0,92.47,554.82,West
2021-02-06,4K Ultra HD Monitor,Technology,4.0,371.32,1485.28,East
2021-02-06,Laptop Pro 15,Technology,2.0,1155.37,2310.74,South
2021-02-07,Office Chair Pro,Furniture,2.0,266.82,533.64,South
2021-02-07,Formal Shirt,Technology,3.0,48.18,144.54,East
2021-02-07,Formal Shirt,Clothing,1.0,44.02,44.02,East
2021-02-08,Office Chair Pro,Furniture,1.0,288.55,288.55,West
2021-02-08,Running Shoes,Clothing,4.0,88.62,354.48,East
2021-02-08,Laptop Pro 15,Technology,2.0,1104.75,2209.5,West
2021-02-08,Running Shoes,Clothing,4.0,102.33,409.32,West
2021-02-08,Premium Notebook,Office Supplies,1.0,18.92,18.92,North
2021-02-08,Premium Notebook,Office Supplies,3.0,19.4,58.2,East
2021-02-09,Premium Notebook,Office Supplies,2.0,17.9,35.8,East
2021-02-09,Running Shoes,Clothing,4.0,96.46,385.84,North
2021-02-09,Business Backpack,Clothing,2.0,61.42,122.84,North
2021-02-09,Premium Notebook,Office Supplies,2.0,17.7,35.4,South
2021-02-09,Business Backpack,Clothing,3.0,66.2,198.6,South
2021-02-09,Smartphone Ultra,Technology,1.0,828.74,828.74,East
2021-02-10,Formal Shirt,Clothing,2.0,46.61,93.22,North
2021-02-10,Filing Cabinet,Office Supplies,3.0,147.12,441.36,South
2021-02-10,Wireless Headphones,Technology,4.0,138.09,552.36,West
2021-02-10,Filing Cabinet,Office Supplies,6.0,154.06,924.36,West
2021-02-10,Laptop Pro 15,Technology,2.0,1283.67,2567.34,South
2021-02-10,Filing Cabinet,Office Supplies,2.0,142.95,285.9,West
2021-02-11,Premium Notebook,Office Supplies,3.0,18.37,55.11,East
2021-02-11,Conference Room Table,Furniture,4.0,757.02,3028.08,North
2021-02-11,4K Ultra HD Monitor,Technology,1.0,350.89,350.89,South
2021-02-12,Conference Room Table,Furniture,2.0,862.15,1724.3,West
2021-02-12,Printer Laser X,Office Supplies,5.0,299.64,1498.2,East
2021-02-12,Office Chair Pro,Furniture,3.0,296.33,888.99,West
2021-02-12,4K Ultra HD Monitor,Technology,1.0,362.71,362.71,East
2021-02-12,Wireless Headphones,Technology,1.0,146.8,146.8,West
2021-02-12,Laptop Pro 15,Technology,1.0,1173.77,1173.77,East
2021-02-12,Business Backpack,Clothing,3.0,67.69,203.07,West
2021-02-13,Laptop Pro 15,Technology,4.0,1148.81,4595.24,South
2021-02-14,Winter Jacket,Clothing,1.0,103.55,103.55,South
2021-02-15,Filing Cabinet,Office Supplies,2.0,151.04,302.08,South
2021-02-16,Running Shoes,Clothing,4.0,98.49,393.96,East
2021-02-16,Conference Room Table,Furniture,1.0,807.1,807.1,West
2021-02-16,Filing Cabinet,Office Supplies,1.0,139.49,139.49,West
2021-02-16,Business Backpack,Clothing,2.0,65.68,131.36,East
2021-02-16,Wireless Headphones,Technology,4.0,137.68,550.72,West
2021-02-17,Office Chair Pro,Furniture,1.0,280.99,280.99,South
2021-02-17,Winter Jacket,Clothing,2.0,118.55,237.1,South
2021-02-18,Business Backpack,Clothing,2.0,62.65,125.3,North
2021-02-18,Laptop Pro 15,Technology,2.0,1231.24,2462.48,South
2021-02-18,Filing Cabinet,Office Supplies,4.0,143.73,574.92,North
2021-02-18,Premium Notebook,Office Supplies,2.0,16.85,33.7,South
2021-02-19,Formal Shirt,Clothing,1.0,45.02,45.02,East
2021-02-19,Wireless Headphones,Technology,2.0,145.53,291.06,North
2021-02-19,Smartphone Ultra,Technology,4.0,809.47,3237.88,East
2021-02-19,Executive Ergonomic Desk,Furniture,4.0,570.77,2283.08,North
2021-02-19,Premium Notebook,Office Supplies,4.0,18.25,73.0,North
2021-02-20,Printer Laser X,Office Supplies,1.0,305.55,305.55,North
2021-02-20,Running Shoes,Clothing,3.0,93.36,280.08,West
2021-02-20,Filing Cabinet,Office Supplies,3.0,147.01,441.03,North
2021-02-20,Office Chair Pro,Furniture,2.0,285.7,571.4,East
2021-02-21,Formal Shirt,Clothing,4.0,43.62,174.48,South
2021-02-22,Conference Room Table,Furniture,4.0,773.11,3092.44,East
2021-02-22,Smartphone Ultra,Technology,2.0,829.23,1658.46,South
2021-02-22,Smartphone Ultra,Technology,1.0,862.11,862.11,South
2021-02-22,Coffee Maker,Appliances,4.0,179.28,717.12,East
2021-02-23,4K Ultra HD Monitor,Technology,4.0,343.41,1373.64,North
2021-02-23,Office Chair Pro,Furniture,2.0,284.21,568.42,West
2021-02-23,Winter Jacket,Clothing,1.0,103.3,103.3,North
2021-02-23,Laptop Pro 15,Technology,4.0,1229.6,4918.4,North
2021-02-23,Laptop Pro 15,Technology,3.0,1247.83,3743.49,East
2021-02-24,Office Chair Pro,Furniture,1.0,294.63,294.63,South
2021-02-24,Business Backpack,Clothing,2.0,65.09,130.18,East
2021-02-24,Premium Notebook,Office Supplies,2.0,17.38,34.76,West
2021-02-24,Executive Ergonomic Desk,Furniture,1.0,565.29,565.29,East
2021-02-24,Business Backpack,Clothing,1.0,68.28,68.28,North
2021-02-25,Executive Ergonomic Desk,Furniture,4.0,522.04,2088.16,East
2021-02-25,Filing Cabinet,Office Supplies,1.0,143.71,143.71,East
2021-02-25,Laptop Pro 15,Technology,2.0,1222.15,2444.3,East
2021-02-26,Office Chair Pro,Furniture,1.0,285.53,285.53,North
2021-02-26,Smartphone Ultra,Technology,3.0,890.61,2671.83,South
2021-02-27,Smartphone Ultra,Technology,3.0,863.96,2591.88,North
2021-02-27,Filing Cabinet,Office Supplies,1.0,157.46,157.46,South
2021-02-27,Office Chair Pro,Furniture,2.0,274.49,548.98,North
2021-02-28,Business Backpack,Clothing,1.0,66.01,66.01,North
2021-02-28,Printer Laser X,Office Supplies,2.0,327.66,655.32,North
2021-02-28,Running Shoes,Clothing,1.0,99.24,99.24,North
2021-03-01,Premium Notebook,Office Supplies,1.0,18.08,18.08,South
2021-03-02,Winter Jacket,Clothing,6.0,107.64,645.84,North
2021-03-02,Laptop Pro 15,Technology,6.0,1251.47,7508.82,West
2021-03-02,Running Shoes,Clothing,2.0,92.44,184.88,South
2021-03-02,Laptop Pro 15,Technology,4.0,1252.83,5011.32,North
2021-03-02,Office Chair Pro,Furniture,2.0,287.91,575.82,North
2021-03-02,Filing Cabinet,Office Supplies,2.0,141.85,283.7,South
2021-03-03,4K Ultra HD Monitor,Technology,7.0,354.35,2480.45,East
2021-03-03,Smartphone Ultra,Technology,1.0,883.15,883.15,North
2021-03-03,Premium Notebook,Office Supplies,3.0,18.43,55.29,West
2021-03-04,Office Chair Pro,Furniture,2.0,275.63,551.26,North
2021-03-04,Winter Jacket,Clothing,1.0,106.76,106.76,East
2021-03-04,Conference Room Table,Furniture,1.0,834.65,834.65,North
2021-03-05,Office Chair Pro,Furniture,1.0,292.98,292.98,North
2021-03-06,Conference Room Table,Furniture,4.0,842.65,3370.6,East
2021-03-06,Formal Shirt,Clothing,4.0,48.3,193.2,North
2021-03-06,Office Chair Pro,Furniture,2.0,280.5,561.0,West
2021-03-07,Premium Notebook,Office Supplies,1.0,16.93,16.93,North
2021-03-07,Running Shoes,Clothing,3.0,88.53,265.59,South
2021-03-08,Formal Shirt,Clothing,2.0,41.93,83.86,South
2021-03-08,Formal Shirt,Clothing,4.0,43.99,175.96,North
2021-03-09,Winter Jacket,Clothing,3.0,116.14,348.42,South
2021-03-09,4K Ultra HD Monitor,Technology,2.0,385.98,771.96,South
2021-03-09,Business Backpack,Clothing,3.0,67.93,203.79,East
2021-03-10,Laptop Pro 15,Technology,1.0,1225.15,1225.15,East
2021-03-10,Filing Cabinet,Office Supplies,4.0,153.22,612.88,West
2021-03-10,Formal Shirt,Clothing,2.0,42.99,85.98,North
2021-03-10,Smartphone Ultra,Technology,2.0,793.31,1586.62,North
2021-03-10,Filing Cabinet,Office Supplies,4.0,146.96,587.84,North
2021-03-12,Smartphone Ultra,Technology,1.0,901.85,901.85,South
2021-03-13,Coffee Maker,Appliances,4.0,192.99,771.96,North
2021-03-13,4K Ultra HD Monitor,Technology,1.0,335.91,335.91,North
2021-03-14,Conference Room Table,Furniture,2.0,854.55,1709.1,East
2021-03-14,Business Backpack,Clothing,1.0,60.09,60.09,West
2021-03-14,Printer Laser X,Office Supplies,1.0,333.48,333.48,South
2021-03-14,Running Shoes,Clothing,5.0,100.9,504.5,West
2021-03-14,Laptop Pro 15,Technology,1.0,1197.28,1197.28,West
2021-03-14,Business Backpack,Clothing,2.0,66.58,133.16,South
2021-03-14,4K Ultra HD Monitor,Technology,3.0,349.12,1047.36,South
2021-03-15,Smartphone Ultra,Technology,2.0,838.37,1676.74,South
2021-03-15,Office Chair Pro,Furniture,1.0,296.21,296.21,East
2021-03-16,Printer Laser X,Office Supplies,4.0,330.29,1321.16,East
2021-03-16,Office Chair Pro,Furniture,3.0,291.36,874.08,West
2021-03-16,Premium Notebook,Office Supplies,3.0,18.73,56.19,East
2021-03-16,Printer Laser X,Office Supplies,5.0,311.98,1559.9,East
2021-03-16,Wireless Headphones,Technology,3.0,133.63,400.89,North
2021-03-16,Coffee Maker,Appliances,1.0,191.38,191.38,West
2021-03-17,Premium Notebook,Office Supplies,4.0,18.06,72.24,East
2021-03-17,Formal Shirt,Clothing,7.0,42.11,294.77,West
2021-03-17,Printer Laser X,Office Supplies,1.0,343.83,343.83,North
2021-03-18,Running Shoes,Clothing,1.0,102.52,102.52,North
2021-03-18,Executive Ergonomic Desk,Furniture,2.0,517.6,1035.2,South
2021-03-19,Formal Shirt,Clothing,1.0,47.98,47.98,North
2021-03-19,Laptop Pro 15,Technology,1.0,1208.1,1208.1,North
2021-03-19,Winter Jacket,Clothing,1.0,111.38,111.38,East
2021-03-19,Wireless Headphones,Technology,4.0,147.43,589.72,East
2021-03-20,4K Ultra HD Monitor,Technology,5.0,353.94,1769.7,East
2021-03-20,Filing Cabinet,Office Supplies,1.0,139.8,139.8,South
2021-03-20,Smartphone Ultra,Technology,1.0,803.53,803.53,West
2021-03-21,Office Chair Pro,Furniture,2.0,265.91,531.82,East
2021-03-22,Laptop Pro 15,Technology,1.0,1186.24,1186.24,South
2021-03-23,Wireless Headphones,Technology,2.0,147.07,294.14,East
2021-03-23,Office Chair Pro,Furniture,1.0,280.31,280.31,North
2021-03-23,Premium Notebook,Office Supplies,3.0,17.03,51.09,West
2021-03-23,Filing Cabinet,Office Supplies,1.0,161.99,161.99,North
2021-03-24,Conference Room Table,Furniture,3.0,798.07,2394.21,North
2021-03-24,Wireless Headphones,Technology,2.0,143.78,287.56,West
2021-03-24,Wireless Headphones,Technology,3.0,147.54,442.62,North
2021-03-24,Executive Ergonomic Desk,Furniture,3.0,532.87,1598.61,East
2021-03-24,Office Chair Pro,Furniture,2.0,289.91,579.82,North
2021-03-25,Laptop Pro 15,Technology,1.0,1160.83,1160.83,North
2021-03-25,4K Ultra HD Monitor,Technology,2.0,385.14,770.28,North
2021-03-26,Printer Laser X,Office Supplies,5.0,333.23,1666.15,North
2021-03-27,Winter Jacket,Clothing,1.0,108.59,108.59,East
2021-03-27,Smartphone Ultra,Technology,2.0,889.65,1779.3,West
2021-03-27,Coffee Maker,Appliances,1.0,181.53,181.53,North
2021-03-28,Coffee Maker,Appliances,4.0,174.67,698.68,East
2021-03-28,Printer Laser X,Office Supplies,1.0,295.09,295.09,South
2021-03-28,Filing Cabinet,Office Supplies,3.0,146.31,438.93,North
2021-03-28,Conference Room Table,Furniture,4.0,775.13,3100.52,East
2021-03-28,4K Ultra HD Monitor,Technology,1.0,371.81,371.81,South
2021-03-29,Office Chair Pro,Furniture,3.0,301.31,903.93,South
2021-03-29,Laptop Pro 15,Technology,5.0,1263.63,6318.15,North
2021-03-29,Premium Notebook,Office Supplies,2.0,17.54,35.08,South
2021-03-29,Premium Notebook,Office Supplies,2.0,19.13,38.26,West
2021-03-30,Office Chair Pro,Furniture,1.0,293.01,293.01,East
2021-03-30,Conference Room Table,Furniture,1.0,774.46,774.46,South
2021-03-31,Premium Notebook,Office Supplies,1.0,17.15,17.15,North
2021-03-31,Printer Laser X,Office Supplies,3.0,303.4,910.2,East
2021-03-31,Wireless Headphones,Technology,3.0,138.6,415.8,North
2021-03-31,4K Ultra HD Monitor,Technology,1.0,364.23,364.23,West
2021-03-31,Running Shoes,Clothing,3.0,95.91,287.73,North
2021-03-31,Business Backpack,Clothing,2.0,63.8,127.6,West
2021-04-01,Executive Ergonomic Desk,Furniture,4.0,603.5,2414.0,South
2021-04-02,Executive Ergonomic Desk,Furniture,1.0,597.62,597.62,South
2021-04-02,Conference Room Table,Furniture,3.0,845.55,2536.65,South
2021-04-02,4K Ultra HD Monitor,Technology,1.0,363.61,363.61,South
2021-04-02,Business Backpack,Clothing,2.0,66.41,132.82,South
2021-04-02,Formal Shirt,Clothing,1.0,43.03,43.03,North
2021-04-02,Wireless Headphones,Technology,4.0,133.28,533.12,South
2021-04-03,Laptop Pro 15,Technology,3.0,1293.84,3881.52,North
2021-04-03,4K Ultra HD Monitor,Technology,5.0,367.23,1836.15,North
2021-04-03,4K Ultra HD Monitor,Technology,2.0,373.29,746.58,North
2021-04-03,Formal Shirt,Clothing,1.0,42.94,42.94,North
2021-04-03,Formal Shirt,Clothing,1.0,44.33,44.33,South
2021-04-03,4K Ultra HD Monitor,Technology,3.0,355.13,1065.39,East
2021-04-04,Conference Room Table,Furniture,4.0,786.27,3145.08,South
2021-04-05,Premium Notebook,Office Supplies,2.0,18.97,37.94,East
2021-04-05,Wireless Headphones,Technology,3.0,145.18,435.54,North
2021-04-05,Running Shoes,Clothing,2.0,96.86,193.72,North
2021-04-05,Business Backpack,Clothing,3.0,63.66,190.98,North
2021-04-06,Executive Ergonomic Desk,Furniture,2.0,592.47,1184.94,West
2021-04-06,Filing Cabinet,Office Supplies,3.0,152.83,458.49,South
2021-04-06,Conference Room Table,Furniture,1.0,809.39,809.39,East
2021-04-06,Premium Notebook,Office Supplies,2.0,17.32,34.64,North
2021-04-06,Premium Notebook,Office Supplies,4.0,17.41,69.64,East
2021-04-07,Premium Notebook,Office Supplies,1.0,19.33,19.33,West
2021-04-08,Executive Ergonomic Desk,Furniture,2.0,568.63,1137.26,South
2021-04-08,Office Chair Pro,Furniture,3.0,263.1,789.3,North
2021-04-08,Coffee Maker,Appliances,1.0,173.1,173.1,North
2021-04-08,Laptop Pro 15,Technology,2.0,1114.27,2228.54,South
2021-04-09,Smartphone Ultra,Technology,2.0,870.2,1740.4,North
2021-04-09,Premium Notebook,Office Supplies,2.0,19.38,38.76,West
2021-04-09,Printer Laser X,Office Supplies,5.0,323.55,1617.75,East
2021-04-09,Laptop Pro 15,Technology,5.0,1260.84,6304.2,North
2021-04-10,Business Backpack,Clothing,2.0,60.49,120.98,South
2021-04-10,Wireless Headphones,Technology,3.0,143.85,431.55,North
2021-04-11,Filing Cabinet,Office Supplies,4.0,143.89,575.56,East
2021-04-11,Running Shoes,Clothing,4.0,102.06,408.24,East
2021-04-11,Running Shoes,Clothing,1.0,96.71,96.71,West
2021-04-12,Formal Shirt,Clothing,3.0,42.64,127.92,North
2021-04-12,Wireless Headphones,Technology,1.0,148.79,148.79,South
2021-04-12,Premium Notebook,Office Supplies,4.0,19.43,77.72,East
2021-04-13,Filing Cabinet,Office Supplies,1.0,140.22,140.22,East
2021-04-13,Formal Shirt,Clothing,3.0,41.82,125.46,West
2021-04-14,Office Chair Pro,Furniture,1.0,302.31,302.31,North
2021-04-14,Coffee Maker,Appliances,1.0,173.73,173.73,East
2021-04-14,Wireless Headphones,Technology,2.0,132.14,264.28,West
2021-04-14,Formal Shirt,Clothing,2.0,45.72,91.44,North
2021-04-14,Formal Shirt,Clothing,2.0,46.04,92.08,East
2021-04-14,Smartphone Ultra,Technology,3.0,785.4,2356.2,South
2021-04-15,Running Shoes,Clothing,2.0,87.81,175.62,West
2021-04-15,4K Ultra HD Monitor,Technology,2.0,340.95,681.9,North
2021-04-15,Wireless Headphones,Technology,1.0,128.91,128.91,West
2021-04-15,Smartphone Ultra,Technology,1.0,875.31,875.31,South
2021-04-16,Business Backpack,Clothing,2.0,68.07,136.14,North
2021-04-16,Wireless Headphones,Technology,1.0,150.8,150.8,South
2021-04-16,Executive Ergonomic Desk,Furniture,1.0,571.6,571.6,East
2021-04-16,Running Shoes,Clothing,1.0,93.22,93.22,West
2021-04-17,Laptop Pro 15,Technology,2.0,1104.06,2208.12,South
2021-04-18,Wireless Headphones,Technology,4.0,144.75,579.0,South
2021-04-18,Executive Ergonomic Desk,Furniture,3.0,587.73,1763.19,North
2021-04-19,Business Backpack,Clothing,2.0,61.36,122.72,North
2021-04-19,4K Ultra HD Monitor,Technology,1.0,386.44,386.44,South
2021-04-19,Filing Cabinet,Office Supplies,1.0,140.28,140.28,West
2021-04-19,Executive Ergonomic Desk,Furniture,2.0,582.99,1165.98,West
2021-04-19,4K Ultra HD Monitor,Technology,4.0,370.72,1482.88,South
2021-04-19,Coffee Maker,Appliances,3.0,167.62,502.86,East
2021-04-20,Smartphone Ultra,Technology,2.0,881.34,1762.68,South
2021-04-21,Business Backpack,Clothing,1.0,59.93,59.93,North
2021-04-21,Coffee Maker,Appliances,3.0,191.79,575.37,South
2021-04-21,Wireless Headphones,Technology,2.0,148.01,296.02,South
2021-04-21,Executive Ergonomic Desk,Furniture,1.0,520.28,520.28,East
2021-04-21,Formal Shirt,Clothing,2.0,46.53,93.06,West
2021-04-21,Laptop Pro 15,Technology,6.0,1253.7,7522.2,East
2021-04-22,Executive Ergonomic Desk,Furniture,3.0,533.51,1600.53,South
2021-04-22,Executive Ergonomic Desk,Furniture,5.0,578.9,2894.5,East
2021-04-23,Premium Notebook,Office Supplies,2.0,18.89,37.78,North
2021-04-23,Conference Room Table,Furniture,1.0,747.8,747.8,East
2021-04-23,Conference Room Table,Furniture,3.0,786.82,2360.46,North
2021-04-23,Office Chair Pro,Furniture,3.0,279.35,838.05,North
2021-04-23,Office Chair Pro,Furniture,1.0,284.03,284.03,East
2021-04-23,Office Chair Pro,Furniture,3.0,272.48,817.44,North
2021-04-24,Running Shoes,Clothing,1.0,101.09,101.09,North
2021-04-24,Premium Notebook,Office Supplies,2.0,17.17,34.34,West
2021-04-24,4K Ultra HD Monitor,Technology,1.0,334.22,334.22,East
2021-04-24,Laptop Pro 15,Technology,5.0,1288.86,6444.3,East
2021-04-24,Laptop Pro 15,Technology,5.0,1119.21,5596.05,East
